Time,open,high,low,close,volume
2021-08-06,0.90669,0.91566,0.90665,0.91464,95814.90001
2021-08-08,0.91471,0.91634,0.9146,0.91573,8944.27
2021-08-09,0.91573,0.921,0.91457,0.92094,84064.02001
2021-08-10,0.92093,0.92341,0.9195,0.92302,84574.51003
2021-08-11,0.92301,0.92422,0.92024,0.92165,81876.88002
2021-08-12,0.92165,0.92398,0.92117,0.92314,59433.76
2021-08-13,0.92314,0.92391,0.91512,0.91562,60947.4
2021-08-15,0.91611,0.9162,0.91505,0.91546,8003.83
2021-08-16,0.91546,0.91637,0.91093,0.91262,84289.67998
2021-08-17,0.91261,0.91531,0.91,0.91497,89608.15002
2021-08-18,0.91498,0.91968,0.9127,0.9176,99492.34999
2021-08-19,0.91759,0.92071,0.91455,0.91897,113024.19001
2021-08-20,0.91897,0.91897,0.91589,0.91704,70400.65
2021-08-22,0.91691,0.91777,0.91654,0.91727,3565.55
2021-08-23,0.91725,0.9178,0.9122,0.91237,81589.38
2021-08-24,0.91239,0.91393,0.91105,0.91322,69597.08
2021-08-25,0.91321,0.9158,0.91251,0.91371,80582.18
2021-08-26,0.91375,0.91923,0.91353,0.918,100909.69003
